--------- beginning of /dev/log/system
05-19 17:11:35.445 W/ActivityManager(  374): Scheduling restart of crashed service com.google.android.apps.maps/com.google.android.location.internal.server.GoogleLocationService in 5000ms
05-19 17:12:05.203 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-19 17:12:05.211 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-19 17:12:05.211 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-19 17:12:05.211 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-19 17:12:05.211 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-19 17:12:05.211 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-19 17:12:05.211 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-19 17:13:04.883 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-19 17:13:04.883 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-19 17:13:04.883 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-19 17:13:04.891 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-19 17:13:04.891 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-19 17:13:04.891 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-19 17:13:04.891 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-19 17:13:04.891 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-19 17:13:04.891 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-19 17:13:04.891 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-19 17:13:04.891 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-19 17:13:04.899 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-19 17:13:04.899 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-19 17:13:04.899 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-19 17:13:05.164 I/ActivityManager(  374): Start proc android.process.acore for content provider com.android.providers.contacts/.ContactsProvider2: pid=13768 uid=10000 gids={50000, 3003, 1015, 1028}
05-19 17:13:05.930 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-19 17:13:05.930 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-19 17:13:05.930 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-19 17:13:05.930 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-19 17:13:05.930 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-19 17:13:05.930 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-19 17:13:05.930 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-19 17:13:05.930 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-19 17:13:05.938 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-19 17:13:05.938 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-19 17:13:05.938 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-19 17:13:05.938 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-19 17:13:05.938 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-19 17:13:05.938 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-19 17:13:48.836 I/PowerManagerService(  374): Waking up from sleep...
05-19 17:13:48.875 I/WindowManager(  374): Lock screen displayed!
05-19 17:13:49.969 D/PhoneStatusBar(  448): disable: < expand icons alerts ticker system_info BACK HOME recent* CLOCK search* >
05-19 17:13:50.031 D/PhoneStatusBar(  448): disable: < expand icons alerts ticker system_info back* home* recent clock* search >
05-19 17:13:50.430 W/InputMethodManagerService(  374): Window already focused, ignoring focus gain of: com.android.internal.view.IInputMethodClient$Stub$Proxy@4269db10 attribute=android.view.inputmethod.EditorInfo@42f8c0c8, token = android.os.BinderProxy@42987850
05-19 17:13:51.328 V/PanelView(  448): animationTick called with dtms=0; nothing to do (h=670.0 v=1851.7954)
05-19 17:13:53.399 V/PanelView(  448): animationTick called with dtms=0; nothing to do (h=1184.0 v=-4000.0)
05-19 17:13:53.774 W/InputMethodManagerService(  374): Window already focused, ignoring focus gain of: com.android.internal.view.IInputMethodClient$Stub$Proxy@42c73cb0 attribute=null, token = android.os.BinderProxy@42987850
05-19 17:13:54.578 I/ActivityManager(  374): START u0 {flg=0x10000000 cmp=com.pekall.emdm.launcher/.ui.BackPersonalActivity} from pid 12519
05-19 17:13:54.625 I/ActivityManager(  374): START u0 {act=android.intent.action.VIEW flg=0x10200000 cmp=com.android.launcher/com.android.launcher2.Launcher} from pid 12519
05-19 17:14:04.922 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-19 17:14:04.922 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-19 17:14:04.922 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-19 17:14:04.922 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-19 17:14:04.922 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-19 17:14:04.922 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-19 17:14:04.922 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-19 17:14:04.922 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-19 17:14:04.922 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-19 17:14:04.922 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-19 17:14:04.930 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-19 17:14:04.930 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-19 17:14:04.930 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-19 17:14:04.930 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-19 17:14:05.313 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-19 17:14:05.313 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-19 17:14:05.313 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-19 17:14:05.313 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-19 17:14:05.313 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-19 17:14:05.313 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-19 17:14:05.313 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-19 17:14:05.313 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-19 17:14:05.320 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-19 17:14:05.320 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-19 17:14:05.320 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-19 17:14:05.320 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-19 17:14:05.320 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-19 17:14:05.320 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-19 17:14:24.516 I/PowerManagerService(  374): Going to sleep due to screen timeout...
05-19 17:14:30.242 D/PhoneStatusBar(  448): disable: < expand icons alerts ticker system_info back home RECENT* clock SEARCH* >
05-19 17:14:30.367 D/PhoneStatusBar(  448): disable: < expand icons alerts ticker system_info BACK* HOME* RECENT CLOCK* SEARCH >
05-19 17:15:05.008 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-19 17:15:05.008 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-19 17:15:05.008 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-19 17:15:05.008 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-19 17:15:05.008 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-19 17:15:05.008 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-19 17:15:05.008 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-19 17:15:05.008 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-19 17:15:05.016 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-19 17:15:05.016 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-19 17:15:05.016 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-19 17:15:05.016 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-19 17:15:05.016 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-19 17:15:05.016 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-19 17:15:05.367 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-19 17:15:05.367 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-19 17:15:05.367 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-19 17:15:05.367 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-19 17:15:05.375 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-19 17:15:05.375 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-19 17:15:05.375 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-19 17:15:05.375 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-19 17:15:05.375 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-19 17:15:05.375 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-19 17:15:05.375 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-19 17:15:05.375 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-19 17:15:05.375 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-19 17:15:05.383 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-19 17:15:24.328 I/ActivityManager(  374): START u0 {flg=0x10008000 cmp=com.pekall.emdm.launcher/com.pekall.emdm.ui.SplashActivity} from pid 12519
05-19 17:15:24.344 W/ActivityManager(  374): Unable to start service Intent { act=com.pekall.mdm.action.SELECT_ERASE } U=0: not found
05-19 17:15:24.375 I/ActivityManager(  374): START u0 {flg=0x10000000 cmp=com.pekall.emdm.launcher/.ui.BackPersonalActivity} from pid 12519
05-19 17:15:24.844 W/ActivityManager(  374): Activity pause timeout for ActivityRecord{428ef498 u0 com.pekall.emdm.launcher/.Launcher}
05-19 17:15:25.352 W/ActivityManager(  374): Activity pause timeout for ActivityRecord{42a7ebd8 u0 com.pekall.emdm.launcher/.ui.BackPersonalActivity}
05-19 17:15:25.430 I/ActivityManager(  374): START u0 {act=android.intent.action.VIEW flg=0x10200000 cmp=com.android.launcher/com.android.launcher2.Launcher} from pid 12519
05-19 17:15:27.289 W/ActivityManager(  374): Unable to start service Intent { cmp=com.pekall.emdm.launcher/com.pekall.semail.service.AttachmentDownloadService } U=0: not found
05-19 17:15:27.758 I/ActivityManager(  374): START u0 {cmp=com.pekall.emdm.launcher/com.pekall.emdm.ui.ActiveDeviceAdminActivity} from pid 12519
05-19 17:15:35.149 I/PowerManagerService(  374): Waking up from sleep...
05-19 17:15:35.289 I/WindowManager(  374): Lock screen displayed!
05-19 17:15:36.500 D/PhoneStatusBar(  448): disable: < expand icons alerts ticker system_info BACK HOME recent* CLOCK search* >
05-19 17:15:36.578 D/PhoneStatusBar(  448): disable: < expand icons alerts ticker system_info back* home* recent clock* search >
05-19 17:15:36.586 W/InputMethodManagerService(  374): Window already focused, ignoring focus gain of: com.android.internal.view.IInputMethodClient$Stub$Proxy@429365a0 attribute=android.view.inputmethod.EditorInfo@427e8168, token = android.os.BinderProxy@42942f70
05-19 17:15:44.008 I/ActivityManager(  374): START u0 {act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10200000 cmp=com.pekall.emdm.launcher/.Launcher} from pid 576
05-19 17:15:44.703 I/ActivityManager(  374): START u0 {cmp=com.pekall.emdm.launcher/com.pekall.emdm.ui.SplashActivity} from pid 12519
05-19 17:15:45.109 W/ActivityManager(  374): Unable to start service Intent { cmp=com.pekall.emdm.launcher/com.pekall.semail.service.AttachmentDownloadService } U=0: not found
05-19 17:15:45.211 W/ActivityManager(  374): Activity pause timeout for ActivityRecord{42652450 u0 com.pekall.emdm.launcher/.Launcher}
05-19 17:15:46.914 I/ActivityManager(  374): START u0 {cmp=com.pekall.emdm.launcher/com.pekall.emdm.ui.ActiveDeviceAdminActivity} from pid 12519
05-19 17:15:47.047 W/ActivityManager(  374): Duplicate finish request for ActivityRecord{42a513a0 u0 com.pekall.emdm.launcher/com.pekall.emdm.ui.SplashActivity}
05-19 17:15:47.547 W/ActivityManager(  374): Activity pause timeout for ActivityRecord{42a513a0 u0 com.pekall.emdm.launcher/com.pekall.emdm.ui.SplashActivity}
05-19 17:15:47.719 I/ActivityManager(  374): START u0 {cmp=com.pekall.emdm.launcher/com.pekall.emdm.ui.RegDeviceActivity} from pid 12519
05-19 17:16:05.211 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-19 17:16:05.211 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-19 17:16:05.211 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-19 17:16:05.211 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-19 17:16:05.211 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-19 17:16:05.211 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-19 17:16:05.227 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-19 17:16:05.234 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-19 17:16:05.234 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-19 17:16:05.234 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-19 17:16:05.234 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-19 17:16:05.234 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-19 17:16:05.234 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-19 17:16:05.242 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-19 17:16:05.500 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-19 17:16:05.500 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-19 17:16:05.500 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-19 17:16:05.500 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-19 17:16:05.500 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-19 17:16:05.500 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-19 17:16:05.500 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-19 17:16:05.508 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-19 17:16:05.508 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-19 17:16:05.508 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-19 17:16:05.516 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-19 17:16:05.516 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-19 17:16:05.516 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-19 17:16:05.516 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-19 17:16:13.875 I/PowerManagerService(  374): Going to sleep due to screen timeout...
05-19 17:16:19.695 D/PhoneStatusBar(  448): disable: < expand icons alerts ticker system_info back home RECENT* clock SEARCH* >
05-19 17:16:19.875 D/PhoneStatusBar(  448): disable: < expand icons alerts ticker system_info BACK* HOME* RECENT CLOCK* SEARCH >
05-19 17:16:35.813 I/PowerManagerService(  374): Waking up from sleep...
05-19 17:16:35.859 I/WindowManager(  374): Lock screen displayed!
05-19 17:16:37.289 D/PhoneStatusBar(  448): disable: < expand icons alerts ticker system_info BACK HOME recent* CLOCK search* >
05-19 17:16:37.352 W/InputMethodManagerService(  374): Window already focused, ignoring focus gain of: com.android.internal.view.IInputMethodClient$Stub$Proxy@4290da50 attribute=android.view.inputmethod.EditorInfo@42871898, token = android.os.BinderProxy@42856150
05-19 17:16:37.375 D/PhoneStatusBar(  448): disable: < expand icons alerts ticker system_info back* home* recent clock* search >
05-19 17:16:53.961 I/ActivityManager(  374): START u0 {act=android.intent.action.MAIN cat=[android.intent.category.HOME] flg=0x10200000 cmp=com.pekall.emdm.launcher/.Launcher} from pid 374
05-19 17:16:55.070 W/ActivityManager(  374): Unable to start service Intent { cmp=com.pekall.emdm.launcher/com.pekall.semail.service.AttachmentDownloadService } U=0: not found
05-19 17:16:55.086 I/ActivityManager(  374): START u0 {cmp=com.pekall.emdm.launcher/com.pekall.emdm.ui.SplashActivity} from pid 12519
05-19 17:16:55.594 W/ActivityManager(  374): Activity pause timeout for ActivityRecord{42dd6b40 u0 com.pekall.emdm.launcher/.Launcher}
05-19 17:16:55.922 I/ActivityManager(  374): START u0 {flg=0x8000 cmp=com.pekall.emdm.launcher/.Launcher} from pid 12519
05-19 17:16:56.430 W/ActivityManager(  374): Activity pause timeout for ActivityRecord{42d34390 u0 com.pekall.emdm.launcher/com.pekall.emdm.ui.SplashActivity}
05-19 17:16:59.258 W/ActivityManager(  374): Unable to start service Intent { cmp=com.pekall.emdm.launcher/com.pekall.semail.service.AttachmentDownloadService } U=0: not found
05-19 17:16:59.961 I/ActivityManager(  374): START u0 {cmp=com.pekall.emdm.launcher/com.pekall.emdm.ui.ActiveDeviceAdminActivity} from pid 12519
05-19 17:17:00.266 I/WindowManager(  374): Screenshot max retries 4 of Token{42a7c150 ActivityRecord{42d90b80 u0 com.pekall.emdm.launcher/.Launcher}} appWin=Window{428409b8 u0 com.pekall.emdm.launcher/com.pekall.emdm.launcher.Launcher} drawState=1
05-19 17:17:00.266 W/WindowManager(  374): Screenshot failure taking screenshot for (720x1280) to layer 91010
05-19 17:17:00.274 W/ActivityManager(  374): Duplicate finish request for ActivityRecord{42d34390 u0 com.pekall.emdm.launcher/com.pekall.emdm.ui.SplashActivity}
05-19 17:17:00.281 W/ActivityManager(  374): Unable to start service Intent { act=pekall.intent.action.DOWNLOAD_APP (has extras) } U=0: not found
05-19 17:17:01.602 W/InputMethodManagerService(  374): Window already focused, ignoring focus gain of: com.android.internal.view.IInputMethodClient$Stub$Proxy@424ecac0 attribute=null, token = android.os.BinderProxy@426ad640
05-19 17:17:05.305 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-19 17:17:05.305 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-19 17:17:05.305 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-19 17:17:05.313 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-19 17:17:05.313 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-19 17:17:05.313 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-19 17:17:05.313 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-19 17:17:05.313 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-19 17:17:05.313 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-19 17:17:05.313 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-19 17:17:05.320 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-19 17:17:05.320 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-19 17:17:05.320 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-19 17:17:05.320 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-19 17:17:05.578 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-19 17:17:05.578 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-19 17:17:05.578 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-19 17:17:05.578 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-19 17:17:05.578 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-19 17:17:05.578 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-19 17:17:05.578 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-19 17:17:05.578 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-19 17:17:05.578 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-19 17:17:05.578 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-19 17:17:05.586 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-19 17:17:05.586 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-19 17:17:05.586 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-19 17:17:05.586 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-19 17:17:08.625 I/ActivityManager(  374): Start proc com.pekall.emdm.launcher:remote for service com.pekall.emdm.launcher/com.baidu.location.f: pid=13984 uid=10066 gids={50066, 1015, 3002, 3001, 3003, 1028}
05-19 17:17:08.891 D/ActivityThread(13984): Loading provider com.pekall.semail.provider;com.pekall.semail.notifier: com.pekall.semail.provider.EmailProvider
05-19 17:17:08.922 D/ActivityThread(13984): Loading provider com.pekall.semail.provider;com.pekall.semail.notifier: com.pekall.semail.provider.EmailProvider
05-19 17:17:10.406 W/ActivityManager(  374): Unable to start service Intent { cmp=com.pekall.emdm.launcher/com.pekall.semail.service.AttachmentDownloadService } U=0: not found
05-19 17:17:23.961 I/PowerManagerService(  374): Going to sleep due to screen timeout...
05-19 17:17:28.649 W/ActivityManager(  374): Timeout executing service: ServiceRecord{428c3d68 u0 com.pekall.emdm.launcher/com.baidu.location.f}
05-19 17:17:34.070 E/ActivityManager(  374): ANR in com.pekall.emdm.launcher:remote
05-19 17:17:34.070 E/ActivityManager(  374): Reason: Executing service com.pekall.emdm.launcher/com.baidu.location.f
05-19 17:17:34.070 E/ActivityManager(  374): Load: 2.49 / 1.95 / 2.07
05-19 17:17:34.070 E/ActivityManager(  374): CPU usage from 3987ms to -5392ms ago:
05-19 17:17:34.070 E/ActivityManager(  374):   91% 12519/com.pekall.emdm.launcher: 90% user + 0.3% kernel / faults: 359 minor
05-19 17:17:34.070 E/ActivityManager(  374):   86% 13984/com.pekall.emdm.launcher:remote: 86% user + 0.1% kernel / faults: 118 minor
05-19 17:17:34.070 E/ActivityManager(  374):   17% 374/system_server: 12% user + 4.2% kernel / faults: 911 minor
05-19 17:17:34.070 E/ActivityManager(  374):   1.8% 448/com.android.systemui: 1.7% user + 0.1% kernel / faults: 214 minor
05-19 17:17:34.070 E/ActivityManager(  374):   0% 8665/com.google.android.email: 0% user + 0% kernel / faults: 278 minor 2 major
05-19 17:17:34.070 E/ActivityManager(  374):   0.5% 561/com.android.phone: 0.4% user + 0.1% kernel / faults: 92 minor
05-19 17:17:34.070 E/ActivityManager(  374):   0% 568/com.android.nfc: 0% user + 0% kernel / faults: 82 minor
