--------- beginning of /dev/log/system
05-22 10:17:34.189 W/ContextImpl(12685): Calling a method in the system process without a qualified user: android.app.ContextImpl.bindService:1439 android.content.ContextWrapper.bindService:496 android.bluetooth.BluetoothInputDevice.<init>:240 android.bluetooth.BluetoothAdapter.getProfileProxy:1168 com.android.settings.bluetooth.LocalBluetoothAdapter.getProfileProxy:94 
05-22 10:17:34.197 W/ContextImpl(12685): Calling a method in the system process without a qualified user: android.app.ContextImpl.bindService:1439 android.content.ContextWrapper.bindService:496 android.bluetooth.BluetoothPan.<init>:141 android.bluetooth.BluetoothAdapter.getProfileProxy:1171 com.android.settings.bluetooth.PanProfile.<init>:73 
05-22 10:17:34.205 W/ContextImpl(12685): Calling a method in the system process without a qualified user: android.app.ContextImpl.bindService:1439 android.content.ContextWrapper.bindService:496 android.bluetooth.BluetoothPbap.<init>:161 com.android.settings.bluetooth.PbapServerProfile.<init>:68 com.android.settings.bluetooth.LocalBluetoothProfileManager.<init>:124 
05-22 10:17:34.353 D/WifiService(  374): setWifiEnabled: true pid=12685, uid=1000
05-22 10:21:32.900 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-22 10:21:33.252 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-22 10:21:33.252 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-22 10:21:33.252 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-22 10:21:33.252 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-22 10:21:33.252 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-22 10:21:33.252 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-22 10:21:33.252 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-22 10:21:33.260 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-22 10:21:33.260 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-22 10:21:33.260 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-22 10:21:33.260 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-22 10:21:33.260 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-22 10:21:33.267 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-22 10:21:33.267 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-22 10:22:32.908 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-22 10:22:32.908 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-22 10:22:32.908 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-22 10:22:32.908 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-22 10:22:32.916 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-22 10:22:32.916 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-22 10:22:32.916 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-22 10:22:32.916 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-22 10:22:32.916 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-22 10:22:32.924 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-22 10:22:32.924 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-22 10:22:32.924 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-22 10:22:32.924 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-22 10:22:32.924 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-22 10:22:33.275 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-22 10:22:33.275 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-22 10:22:33.275 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-22 10:22:33.275 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-22 10:22:33.283 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-22 10:22:33.283 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-22 10:22:33.283 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-22 10:22:33.283 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-22 10:22:33.283 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-22 10:22:33.283 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-22 10:22:33.291 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-22 10:22:33.291 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-22 10:22:33.291 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-22 10:22:33.291 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-22 10:23:32.986 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-22 10:23:32.986 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-22 10:23:32.986 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-22 10:23:32.986 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-22 10:23:32.994 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-22 10:23:32.994 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-22 10:23:32.994 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-22 10:23:32.994 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-22 10:23:32.994 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-22 10:23:32.994 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-22 10:23:32.994 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-22 10:23:32.994 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-22 10:23:33.002 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-22 10:23:33.002 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-22 10:23:33.510 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-22 10:23:33.510 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-22 10:23:33.510 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-22 10:23:33.510 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-22 10:23:33.510 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-22 10:23:33.517 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-22 10:23:33.517 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-22 10:23:33.517 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-22 10:23:33.517 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-22 10:23:33.517 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-22 10:23:33.517 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-22 10:23:33.517 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-22 10:23:33.517 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-22 10:23:33.517 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-22 10:23:37.439 I/PowerManagerService(  374): Waking up from sleep...
05-22 10:23:37.494 I/WindowManager(  374): Lock screen displayed!
05-22 10:23:37.697 I/ActivityManager(  374): Start proc com.qihoo.appstore for service com.qihoo.appstore/.express.DownloadCoreService: pid=12874 uid=10064 gids={50064, 3003, 1015, 3002, 1006, 3001, 1028}
05-22 10:23:38.830 D/PhoneStatusBar(  448): disable: < expand icons alerts ticker system_info BACK HOME recent* CLOCK search* >
05-22 10:23:38.931 D/PhoneStatusBar(  448): disable: < expand icons alerts ticker system_info back* home* recent clock* search >
05-22 10:23:38.939 W/InputMethodManagerService(  374): Window already focused, ignoring focus gain of: com.android.internal.view.IInputMethodClient$Stub$Proxy@4283adc0 attribute=android.view.inputmethod.EditorInfo@4293b628, token = android.os.BinderProxy@42c7cb00
05-22 10:24:11.088 I/PowerManagerService(  374): Going to sleep due to screen timeout...
05-22 10:24:16.814 D/PhoneStatusBar(  448): disable: < expand icons alerts ticker system_info back home RECENT* clock SEARCH* >
05-22 10:24:16.916 D/PhoneStatusBar(  448): disable: < expand icons alerts ticker system_info BACK* HOME* RECENT CLOCK* SEARCH >
05-22 10:24:33.049 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-22 10:24:33.049 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-22 10:24:33.049 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-22 10:24:33.049 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-22 10:24:33.056 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-22 10:24:33.056 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-22 10:24:33.056 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-22 10:24:33.056 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-22 10:24:33.056 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-22 10:24:33.064 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-22 10:24:33.064 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-22 10:24:33.064 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-22 10:24:33.072 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-22 10:24:33.072 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-22 10:24:33.510 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-22 10:24:33.510 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-22 10:24:33.510 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-22 10:24:33.510 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-22 10:24:33.517 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-22 10:24:33.517 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-22 10:24:33.517 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-22 10:24:33.517 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-22 10:24:33.525 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-22 10:24:33.525 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-22 10:24:33.525 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-22 10:24:33.525 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-22 10:24:33.525 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-22 10:24:33.533 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
