--------- beginning of /dev/log/system
05-22 10:07:14.838 W/ActivityManager(  374): Killing ProcessRecord{42540e98 12499:com.pekall.emdm.launcher:remote/u0a10066}: background ANR
05-22 10:12:32.627 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-22 10:12:32.627 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-22 10:12:32.627 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-22 10:12:32.627 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-22 10:12:32.627 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-22 10:13:32.322 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-22 10:13:32.322 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-22 10:13:32.322 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-22 10:13:32.322 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-22 10:13:32.322 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-22 10:13:32.322 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-22 10:13:32.322 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-22 10:13:32.322 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-22 10:13:32.322 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-22 10:13:32.322 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-22 10:13:32.330 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-22 10:13:32.330 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-22 10:13:32.330 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-22 10:13:32.330 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-22 10:13:32.752 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-22 10:13:32.752 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-22 10:13:32.752 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-22 10:13:32.752 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-22 10:13:32.752 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-22 10:13:32.752 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-22 10:13:32.760 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-22 10:13:32.760 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-22 10:13:32.760 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-22 10:13:32.760 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-22 10:13:32.760 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-22 10:13:32.760 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-22 10:13:32.760 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-22 10:13:32.760 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-22 10:14:32.400 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-22 10:14:32.400 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-22 10:14:32.408 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-22 10:14:32.408 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-22 10:14:32.408 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-22 10:14:32.408 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-22 10:14:32.408 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-22 10:14:32.408 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-22 10:14:32.408 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-22 10:14:32.408 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-22 10:14:32.408 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-22 10:14:32.408 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-22 10:14:32.408 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-22 10:14:32.416 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-22 10:14:32.721 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-22 10:14:32.721 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-22 10:14:32.721 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-22 10:14:32.721 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-22 10:14:32.721 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-22 10:14:32.721 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-22 10:14:32.728 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-22 10:14:32.728 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-22 10:14:32.728 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-22 10:14:32.728 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-22 10:14:32.736 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-22 10:14:32.736 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-22 10:14:32.736 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-22 10:14:32.736 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-22 10:15:32.463 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-22 10:15:32.463 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-22 10:15:32.463 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-22 10:15:32.463 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-22 10:15:32.463 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-22 10:15:32.463 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-22 10:15:32.463 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-22 10:15:32.463 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-22 10:15:32.463 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-22 10:15:32.463 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-22 10:15:32.463 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-22 10:15:32.471 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-22 10:15:32.471 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-22 10:15:32.471 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-22 10:15:32.806 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-22 10:15:32.806 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-22 10:15:32.806 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-22 10:15:32.814 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-22 10:15:32.814 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-22 10:15:32.814 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-22 10:15:32.814 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-22 10:15:32.814 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-22 10:15:32.814 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-22 10:15:32.814 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-22 10:15:32.814 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-22 10:15:32.814 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-22 10:15:32.822 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-22 10:15:32.822 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-22 10:16:32.502 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-22 10:16:32.502 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-22 10:16:32.502 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-22 10:16:32.502 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-22 10:16:32.502 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-22 10:16:32.502 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-22 10:16:32.502 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-22 10:16:32.502 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-22 10:16:32.502 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-22 10:16:32.510 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-22 10:16:32.510 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-22 10:16:32.510 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-22 10:16:32.510 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-22 10:16:32.510 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-22 10:16:32.681 I/ActivityManager(  374): No longer want com.google.android.apps.uploader (pid 11610): empty for 1806s
05-22 10:16:32.885 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-22 10:16:32.885 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-22 10:16:32.885 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-22 10:16:32.885 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-22 10:16:32.885 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-22 10:16:32.892 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-22 10:16:32.892 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-22 10:16:32.892 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-22 10:16:32.892 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-22 10:16:32.892 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-22 10:16:32.892 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-22 10:16:32.892 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-22 10:16:32.892 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
