--------- beginning of /dev/log/system
05-22 14:23:25.835 I/Vold    (  117): Vold 2.1 (the revenge) firing up
05-22 14:23:27.867 W/dalvikvm(  125): PR_SET_NO_NEW_PRIVS failed. Is your kernel compiled correctly?: Invalid argument
05-22 14:23:37.218 W/PackageManager(  375): Not granting permission android.permission.WRITE_APN_SETTINGS to package com.dragon.android.pandaspace (protectionLevel=18 flags=0xbe44)
05-22 14:23:37.218 W/PackageManager(  375): Not granting permission android.permission.INSTALL_PACKAGES to package com.dragon.android.pandaspace (protectionLevel=18 flags=0xbe44)
05-22 14:23:37.218 W/PackageManager(  375): Not granting permission android.permission.CHANGE_CONFIGURATION to package com.dragon.android.pandaspace (protectionLevel=50 flags=0xbe44)
05-22 14:23:37.218 W/PackageManager(  375): Not granting permission android.permission.READ_LOGS to package com.dragon.android.pandaspace (protectionLevel=50 flags=0xbe44)
05-22 14:23:37.218 W/PackageManager(  375): Not granting permission android.permission.PACKAGE_USAGE_STATS to package com.dragon.android.pandaspace (protectionLevel=18 flags=0xbe44)
05-22 14:23:37.218 W/PackageManager(  375): Not granting permission android.permission.MOUNT_UNMOUNT_FILESYSTEMS to package com.dragon.android.pandaspace (protectionLevel=18 flags=0xbe44)
05-22 14:23:37.218 W/PackageManager(  375): Not granting permission android.permission.SET_ACTIVITY_WATCHER to package com.dragon.android.pandaspace (protectionLevel=2 flags=0xbe44)
05-22 14:23:37.218 W/PackageManager(  375): Not granting permission android.permission.DELETE_PACKAGES to package com.dragon.android.pandaspace (protectionLevel=18 flags=0xbe44)
05-22 14:23:37.218 W/PackageManager(  375): Not granting permission android.permission.CHANGE_COMPONENT_ENABLED_STATE to package com.dragon.android.pandaspace (protectionLevel=18 flags=0xbe44)
05-22 14:23:37.218 W/PackageManager(  375): Not granting permission android.permission.SEND_DOWNLOAD_COMPLETED_INTENTS to package com.android.vending (protectionLevel=2 flags=0xabe45)
05-22 14:23:37.218 W/PackageManager(  375): Unknown permission android.permission.SEND_SMS_NO_CONFIRMATION in package com.android.vending
05-22 14:23:37.218 W/PackageManager(  375): Not granting permission android.permission.BIND_APPWIDGET to package com.pekall.emdm.launcher (protectionLevel=18 flags=0x8be46)
05-22 14:23:37.218 W/PackageManager(  375): Not granting permission android.permission.CHANGE_CONFIGURATION to package com.pekall.emdm.launcher (protectionLevel=50 flags=0x8be46)
05-22 14:23:37.218 W/PackageManager(  375): Not granting permission android.permission.INSTALL_PACKAGES to package com.pekall.emdm.launcher (protectionLevel=18 flags=0x8be46)
05-22 14:23:37.218 W/PackageManager(  375): Unknown permission android.permission.sec.ENTERPRISE_DEVICE_ADMIN in package com.pekall.emdm.launcher
05-22 14:23:37.218 W/PackageManager(  375): Unknown permission android.permission.sec.MDM_APP_MGMT in package com.pekall.emdm.launcher
05-22 14:23:37.218 W/PackageManager(  375): Unknown permission android.permission.sec.MDM_BLUETOOTH in package com.pekall.emdm.launcher
05-22 14:23:37.218 W/PackageManager(  375): Unknown permission android.permission.sec.MDM_INVENTORY in package com.pekall.emdm.launcher
05-22 14:23:37.218 W/PackageManager(  375): Unknown permission android.permission.sec.MDM_EXCHANGE in package com.pekall.emdm.launcher
05-22 14:23:37.218 W/PackageManager(  375): Unknown permission android.permission.sec.MDM_ROAMING in package com.pekall.emdm.launcher
05-22 14:23:37.218 W/PackageManager(  375): Unknown permission android.permission.sec.MDM_WIFI in package com.pekall.emdm.launcher
05-22 14:23:37.218 W/PackageManager(  375): Unknown permission android.permission.sec.MDM_SECURITY in package com.pekall.emdm.launcher
05-22 14:23:37.218 W/PackageManager(  375): Unknown permission android.permission.sec.MDM_HW_CONTROL in package com.pekall.emdm.launcher
05-22 14:23:37.226 W/PackageManager(  375): Unknown permission android.permission.sec.MDM_RESTRICTION in package com.pekall.emdm.launcher
05-22 14:23:37.226 W/PackageManager(  375): Unknown permission android.permission.sec.MDM_LOCATION in package com.pekall.emdm.launcher
05-22 14:23:37.226 W/PackageManager(  375): Not granting permission android.permission.INTERACT_ACROSS_USERS_FULL to package com.pekall.emdm.launcher (protectionLevel=2 flags=0x8be46)
05-22 14:23:37.226 W/PackageManager(  375): Unknown permission android.permission.sec.MDM_CALLING in package com.pekall.emdm.launcher
05-22 14:23:37.226 W/PackageManager(  375): Unknown permission android.permission.sec.MDM_EMAIL in package com.pekall.emdm.launcher
05-22 14:23:37.226 W/PackageManager(  375): Unknown permission android.permission.sec.MDM_VPN in package com.pekall.emdm.launcher
05-22 14:23:37.226 W/PackageManager(  375): Unknown permission android.permission.sec.MDM_APN in package com.pekall.emdm.launcher
05-22 14:23:37.226 W/PackageManager(  375): Unknown permission android.permission.sec.MDM_PHONE_RESTRICTION in package com.pekall.emdm.launcher
05-22 14:23:37.226 W/PackageManager(  375): Unknown permission android.permission.sec.MDM_BROWSER_SETTINGS in package com.pekall.emdm.launcher
05-22 14:23:37.226 W/PackageManager(  375): Unknown permission android.permission.sec.MDM_DATE_TIME in package com.pekall.emdm.launcher
05-22 14:23:37.226 W/PackageManager(  375): Unknown permission android.permission.sec.MDM_ENTERPRISE_VPN in package com.pekall.emdm.launcher
05-22 14:23:37.226 W/PackageManager(  375): Unknown permission android.permission.sec.MDM_FIREWALL in package com.pekall.emdm.launcher
05-22 14:23:37.226 W/PackageManager(  375): Unknown permission android.permission.sec.MDM_APP_PERMISSION_MGMT in package com.pekall.emdm.launcher
05-22 14:23:37.226 W/PackageManager(  375): Unknown permission android.permission.sec.MDM_KIOSK_MODE in package com.pekall.emdm.launcher
05-22 14:23:37.226 W/PackageManager(  375): Not granting permission android.permission.ACCESS_DOWNLOAD_MANAGER to package com.pekall.emdm.launcher (protectionLevel=18 flags=0x8be46)
05-22 14:23:37.226 W/PackageManager(  375): Not granting permission android.permission.SEND_DOWNLOAD_COMPLETED_INTENTS to package com.pekall.emdm.launcher (protectionLevel=2 flags=0x8be46)
05-22 14:23:37.226 W/PackageManager(  375): Unknown permission com.pekall.emdm.browser.permission.READ_HISTORY_BOOKMARKS in package com.pekall.emdm.launcher
05-22 14:23:37.226 W/PackageManager(  375): Unknown permission com.pekall.emdm.browser.permission.WRITE_HISTORY_BOOKMARKS in package com.pekall.emdm.launcher
05-22 14:23:37.226 W/PackageManager(  375): Not granting permission android.permission.READ_DREAM_STATE to package com.google.android.gsf (protectionLevel=2 flags=0x83e45)
05-22 14:23:37.445 I/SystemServer(  375): Entropy Mixer
05-22 14:23:37.453 I/EntropyMixer(  375): Writing entropy...
05-22 14:23:37.468 I/SystemServer(  375): User Service
05-22 14:23:37.468 I/SystemServer(  375): Account Manager
05-22 14:23:37.476 I/SystemServer(  375): Content Manager
05-22 14:23:37.476 I/SystemServer(  375): System Content Providers
05-22 14:23:37.539 I/SystemServer(  375): Lights Service
05-22 14:23:37.546 I/SystemServer(  375): Battery Service
05-22 14:23:37.546 I/SystemServer(  375): Vibrator Service
05-22 14:23:37.546 I/SystemServer(  375): Alarm Manager
05-22 14:23:37.554 I/SystemServer(  375): Init Watchdog
05-22 14:23:37.554 I/SystemServer(  375): Input Manager
05-22 14:23:37.554 I/InputManager(  375): Initializing input manager, mUseDevInputEventForAudioJack=false
05-22 14:23:37.554 I/SystemServer(  375): Window Manager
05-22 14:23:37.570 I/WindowManager(  375): No existing display settings /data/system/display_settings.xml; starting empty
05-22 14:23:37.601 I/InputManager(  375): Starting input manager
05-22 14:23:37.601 I/SystemServer(  375): Bluetooth Manager Service
05-22 14:23:37.609 I/SystemServer(  375): Input Method Service
05-22 14:23:37.617 W/InputMethodManagerService(  375): Couldn't create dir.: /data/system/inputmethod
05-22 14:23:37.648 I/SystemServer(  375): Accessibility Manager
05-22 14:23:37.648 I/ActivityManager(  375): Config changes=15f8 {1.0 ?mcc?mnc en_US ldltr sw360dp w360dp h567dp 320dpi nrml port ?uimode ?night -touch -keyb/v/h -nav/h s.2}
05-22 14:23:37.664 I/SystemServer(  375): Mount Service
05-22 14:23:37.664 D/MountService(  375): got storage path: null description: Internal storage primary: false removable: false emulated: true mtpReserve: 100 allowMassStorage: false maxFileSize: 0
05-22 14:23:37.664 D/MountService(  375): addVolumeLocked() StorageVolume [mStorageId=65537 mPath=/storage/emulated/0 mDescriptionId=17040653 mPrimary=true mRemovable=false mEmulated=true mMtpReserveSpace=100 mAllowMassStorage=false mMaxFileSize=0 mOwner=UserHandle{0}]
05-22 14:23:37.664 I/SystemServer(  375): LockSettingsService
05-22 14:23:37.664 I/SystemServer(  375): Device Policy
05-22 14:23:37.671 I/SystemServer(  375): Status Bar
05-22 14:23:37.671 I/SystemServer(  375): Clipboard Service
05-22 14:23:37.671 I/SystemServer(  375): NetworkManagement Service
05-22 14:23:37.687 W/PackageManager(  375): Not granting permission android.permission.SEND_DOWNLOAD_COMPLETED_INTENTS to package com.google.android.browser (protectionLevel=2 flags=0x89be45)
05-22 14:23:37.687 W/PackageManager(  375): Unknown permission android.permission.ADD_SYSTEM_SERVICE in package com.android.phone
05-22 14:23:37.687 W/PackageManager(  375): Unknown permission com.android.smspush.WAPPUSH_MANAGER_BIND in package com.android.phone
05-22 14:23:37.687 W/PackageManager(  375): Not granting permission android.permission.READ_LOGS to package com.qihoo.root (protectionLevel=50 flags=0x80be44)
05-22 14:23:37.687 W/PackageManager(  375): Not granting permission android.permission.INSTALL_PACKAGES to package com.qihoo.root (protectionLevel=18 flags=0x80be44)
05-22 14:23:37.687 W/PackageManager(  375): Not granting permission android.permission.DELETE_PACKAGES to package com.qihoo.root (protectionLevel=18 flags=0x80be44)
05-22 14:23:37.687 W/PackageManager(  375): Unknown permission com.android.vending.billing.IBillingAccountService.BIND2 in package com.google.android.gsf.login
05-22 14:23:37.687 W/PackageManager(  375): Unknown permission com.android.chrome.TOS_ACKED in package com.google.android.gsf.login
05-22 14:23:37.687 W/PackageManager(  375): Unknown permission com.android.gallery3d.permission.GALLERY_PROVIDER in package com.android.bluetooth
05-22 14:23:37.687 W/PackageManager(  375): Not granting permission android.permission.MODIFY_PHONE_STATE to package com.qihoo360.mobilesafe (protectionLevel=18 flags=0x80be44)
05-22 14:23:37.687 W/PackageManager(  375): Not granting permission android.permission.WRITE_SECURE_SETTINGS to package com.qihoo360.mobilesafe (protectionLevel=50 flags=0x80be44)
05-22 14:23:37.687 W/PackageManager(  375): Not granting permission android.permission.WRITE_APN_SETTINGS to package com.qihoo360.mobilesafe (protectionLevel=18 flags=0x80be44)
05-22 14:23:37.687 W/PackageManager(  375): Not granting permission android.permission.READ_LOGS to package com.qihoo360.mobilesafe (protectionLevel=50 flags=0x80be44)
05-22 14:23:37.687 W/PackageManager(  375): Unknown permission com.qihoo360.mobilesafe_lite.permission.FORCE_CLOSE in package com.qihoo360.mobilesafe
05-22 14:23:37.687 W/PackageManager(  375): Unknown permission telecom.mdesk.permission.FORCE_CLOSE in package com.qihoo360.mobilesafe
05-22 14:23:37.687 W/PackageManager(  375): Not granting permission android.permission.INSTALL_PACKAGES to package com.qihoo360.mobilesafe (protectionLevel=18 flags=0x80be44)
05-22 14:23:37.687 W/PackageManager(  375): Not granting permission android.permission.SET_ALWAYS_FINISH to package com.qihoo360.mobilesafe (protectionLevel=50 flags=0x80be44)
05-22 14:23:37.687 W/PackageManager(  375): Unknown permission android.permission.ACCESS_SUPERUSER in package com.qihoo360.mobilesafe
05-22 14:23:37.687 W/PackageManager(  375): Unknown permission com.qihoo360.mobilesafe.shield.permission.broadcast in package com.qihoo360.mobilesafe
05-22 14:23:37.687 W/PackageManager(  375): Unknown permission com.qihoo360.contacts.permission.broadcast in package com.qihoo360.mobilesafe
05-22 14:23:37.687 W/PackageManager(  375): Unknown permission com.qihoo360.privatehome.permission.openAppActivity in package com.qihoo360.mobilesafe
05-22 14:23:37.687 W/PackageManager(  375): Not granting permission android.permission.INSTALL_PACKAGES to package com.qihoo.appstore (protectionLevel=18 flags=0x88be44)
05-22 14:23:37.687 I/SystemServer(  375): Text Service Manager Service
05-22 14:23:37.695 W/PackageManager(  375): Not granting permission android.permission.DELETE_PACKAGES to package com.qihoo.appstore (protectionLevel=18 flags=0x88be44)
05-22 14:23:37.695 W/PackageManager(  375): Not granting permission android.permission.CLEAR_APP_USER_DATA to package com.qihoo.appstore (protectionLevel=2 flags=0x88be44)
05-22 14:23:37.695 W/PackageManager(  375): Not granting permission android.permission.WRITE_MEDIA_STORAGE to package com.qihoo.appstore (protectionLevel=18 flags=0x88be44)
05-22 14:23:37.695 W/PackageManager(  375): Not granting permission android.permission.ACCESS_CACHE_FILESYSTEM to package com.qihoo.appstore (protectionLevel=18 flags=0x88be44)
05-22 14:23:37.695 W/PackageManager(  375): Unknown permission android.permission.READ_OWNER_DATA in package com.qihoo.appstore
05-22 14:23:37.695 W/PackageManager(  375): Unknown permission android.permission.WRITE_OWNER_DATA in package com.qihoo.appstore
05-22 14:23:37.695 W/PackageManager(  375): Not granting permission android.permission.CHANGE_CONFIGURATION to package com.qihoo.appstore (protectionLevel=50 flags=0x88be44)
05-22 14:23:37.695 W/PackageManager(  375): Unknown permission com.htc.launcher.permission.READ_SETTINGS in package com.qihoo.appstore
05-22 14:23:37.695 W/PackageManager(  375): Not granting permission android.permission.DEVICE_POWER to package com.qihoo.appstore (protectionLevel=2 flags=0x88be44)
05-22 14:23:37.695 W/PackageManager(  375): Not granting permission android.permission.DEVICE_POWER to package com.google.android.deskclock (protectionLevel=2 flags=0xc8be45)
05-22 14:23:37.695 W/PackageManager(  375): Unknown permission android.permission.READ_OWNER_DATA in package com.google.android.setupwizard
05-22 14:23:37.695 W/PackageManager(  375): Unknown permission android.permission.WRITE_OWNER_DATA in package com.google.android.setupwizard
05-22 14:23:37.703 W/PackageManager(  375): Unknown permission android.permission.ACCESS_MTK_MMHW in package com.qihoo.permroot
05-22 14:23:37.703 W/PackageManager(  375): Unknown permission com.google.android.voicesearch.SHORTCUTS_ACCESS in package com.google.android.googlequicksearchbox
05-22 14:23:37.703 W/PackageManager(  375): Unknown permission com.google.android.apps.googlevoice.permission.AUTO_SEND in package com.google.android.googlequicksearchbox
05-22 14:23:37.703 W/PackageManager(  375): Not granting permission android.permission.ACCOUNT_MANAGER to package com.google.android.music (protectionLevel=2 flags=0x8be65)
05-22 14:23:37.703 W/PackageManager(  375): Unknown permission android.permission.READ_OWNER_DATA in package com.nd.assistance
05-22 14:23:37.703 W/PackageManager(  375): Unknown permission android.permission.WRITE_OWNER_DATA in package com.nd.assistance
05-22 14:23:37.703 W/PackageManager(  375): Not granting permission android.permission.DEVICE_POWER to package com.nd.assistance (protectionLevel=2 flags=0x80ae46)
05-22 14:23:37.703 W/PackageManager(  375): Unknown permission com.android.providers.im.permission.READ_ONLY in package com.google.android.apps.maps
05-22 14:23:37.703 W/PackageManager(  375): Unknown permission oicq.wlogin_sdk.permission.WloginProvider.READ in package com.tencent.android.qqdownloader
05-22 14:23:37.703 W/PackageManager(  375): Unknown permission oicq.wlogin_sdk.permission.WloginProvider.WRITE in package com.tencent.android.qqdownloader
05-22 14:23:37.710 W/PackageManager(  375): Not granting permission android.permission.READ_LOGS to package com.sohu.inputmethod.sogou (protectionLevel=50 flags=0x88be44)
05-22 14:23:37.710 W/PackageManager(  375): Not granting permission android.permission.WRITE_APN_SETTINGS to package com.dragon.android.pandaspace (protectionLevel=18 flags=0x80be44)
05-22 14:23:37.710 W/PackageManager(  375): Not granting permission android.permission.INSTALL_PACKAGES to package com.dragon.android.pandaspace (protectionLevel=18 flags=0x80be44)
05-22 14:23:37.710 W/PackageManager(  375): Not granting permission android.permission.CHANGE_CONFIGURATION to package com.dragon.android.pandaspace (protectionLevel=50 flags=0x80be44)
05-22 14:23:37.710 W/PackageManager(  375): Not granting permission android.permission.READ_LOGS to package com.dragon.android.pandaspace (protectionLevel=50 flags=0x80be44)
05-22 14:23:37.710 W/PackageManager(  375): Not granting permission android.permission.PACKAGE_USAGE_STATS to package com.dragon.android.pandaspace (protectionLevel=18 flags=0x80be44)
05-22 14:23:37.710 W/PackageManager(  375): Not granting permission android.permission.MOUNT_UNMOUNT_FILESYSTEMS to package com.dragon.android.pandaspace (protectionLevel=18 flags=0x80be44)
05-22 14:23:37.710 W/PackageManager(  375): Not granting permission android.permission.SET_ACTIVITY_WATCHER to package com.dragon.android.pandaspace (protectionLevel=2 flags=0x80be44)
05-22 14:23:37.710 W/PackageManager(  375): Not granting permission android.permission.DELETE_PACKAGES to package com.dragon.android.pandaspace (protectionLevel=18 flags=0x80be44)
05-22 14:23:37.710 W/PackageManager(  375): Not granting permission android.permission.CHANGE_COMPONENT_ENABLED_STATE to package com.dragon.android.pandaspace (protectionLevel=18 flags=0x80be44)
05-22 14:23:37.710 W/PackageManager(  375): Not granting permission android.permission.SEND_DOWNLOAD_COMPLETED_INTENTS to package com.android.vending (protectionLevel=2 flags=0xabe45)
05-22 14:23:37.710 W/PackageManager(  375): Unknown permission android.permission.SEND_SMS_NO_CONFIRMATION in package com.android.vending
05-22 14:23:37.726 W/PackageManager(  375): Not granting permission android.permission.BIND_APPWIDGET to package com.pekall.emdm.launcher (protectionLevel=18 flags=0x88be46)
05-22 14:23:37.726 W/PackageManager(  375): Not granting permission android.permission.CHANGE_CONFIGURATION to package com.pekall.emdm.launcher (protectionLevel=50 flags=0x88be46)
05-22 14:23:37.726 W/PackageManager(  375): Not granting permission android.permission.INSTALL_PACKAGES to package com.pekall.emdm.launcher (protectionLevel=18 flags=0x88be46)
05-22 14:23:37.726 W/PackageManager(  375): Unknown permission android.permission.sec.ENTERPRISE_DEVICE_ADMIN in package com.pekall.emdm.launcher
05-22 14:23:37.726 W/PackageManager(  375): Unknown permission android.permission.sec.MDM_APP_MGMT in package com.pekall.emdm.launcher
05-22 14:23:37.726 W/PackageManager(  375): Unknown permission android.permission.sec.MDM_BLUETOOTH in package com.pekall.emdm.launcher
05-22 14:23:37.726 W/PackageManager(  375): Unknown permission android.permission.sec.MDM_INVENTORY in package com.pekall.emdm.launcher
05-22 14:23:37.726 W/PackageManager(  375): Unknown permission android.permission.sec.MDM_EXCHANGE in package com.pekall.emdm.launcher
05-22 14:23:37.726 W/PackageManager(  375): Unknown permission android.permission.sec.MDM_ROAMING in package com.pekall.emdm.launcher
05-22 14:23:37.726 W/PackageManager(  375): Unknown permission android.permission.sec.MDM_WIFI in package com.pekall.emdm.launcher
